user,lemak,protein,karbohidrat,gula,class
0,13.0,55.5,21.8,21.8,2
3,81.11,0.85,0.06,0.06,1
2,27.34,37.86,3.41,0.9,1
0,0.08,3.37,4.96,5.09,0
1,1.98,3.95,5.49,0.0,0
1,7.56,6.81,10.04,0.0,0
3,0.77,36.16,51.98,51.98,3
2,0.72,35.1,52.19,52.19,2
0,35.59,30.52,2.17,2.17,1
1,29.84,21.58,0.12,0.12,1
2,21.08,18.52,0.0,0.0,1
1,22.93,14.07,1.77,0.07,1
2,12.22,11.47,23.67,23.67,2
1,14.92,10.33,5.48,0.19,1
3,29.98,21.44,4.63,4.63,2
2,28.26,22.6,2.87,2.87,2
0,29.68,21.56,5.56,5.56,1
0,7.0,24.35,1.91,0.52,0
2,32.62,24.35,1.91,0.49,1
1,9.95,12.33,1.01,0.25,0
2,0.0,10.2,1.04,0.25,0
3,0.0,81.1,7.8,5.4,2
3,1.98,3.3,4.8,5.06,1
3,0.97,3.37,4.99,5.2,1
1,14.1,7.0,7.0,0.3,0
3,10.6,3.5,7.1,0.22,1
2,0.0,3.1,15.6,0.39,0
2,18.3,27.2,2.0,0.58,1
1,0.18,3.86,7.5,7.5,0
2,5.0,40.0,40.0,1.5,2
3,1.0,15.69,7.66,5.48,1
3,0.0,3.53,23.53,14.97,1
2,21.0,12.0,9.2,6.7,2
3,9.5,16.3,16.2,8.2,2
0,1.0,22.7,11.7,6.7,1
2,22.0,16.3,9.8,8.1,2
3,10.6,19.6,11.8,8.5,2
0,12.0,4.5,6.5,6.4,1
3,1.3,4.7,15.1,7.2,1
2,1.4,2.6,9.0,5.0,0
0,5.0,3.0,25.0,16.0,1
1,1.9,2.99,12.13,9.55,0
0,1.41,4.86,18.6,2.9,0
0,20.0,20.0,1.37,0.0,0
3,13.5,0.69,35.07,33.04,2
2,21.47,0.68,75.42,58.01,2
3,17.6,24.7,3.5,0.55,2
1,19.4,24.69,3.41,0.56,1
2,34.5,35.6,23.97,2.46,2
2,3.27,3.15,4.78,5.05,1
2,26.71,26.32,38.42,38.42,3
3,7.56,6.81,10.04,10.04,2
2,14.1,17.6,10.6,8.02,2
2,1.15,3.98,18.64,18.64,1
1,1.08,4.37,19.05,19.05,1
3,0.2,4.4,19.0,19.0,1
2,1.41,4.86,18.6,2.9,0
3,1.25,4.93,13.8,13.8,1
1,0.18,3.86,7.5,7.5,0
2,0.0,3.53,23.53,14.97,1
0,17.14,45.71,18.5,5.71,1
1,12.0,50.0,22.0,4.0,1
0,7.35,6.84,55.35,49.74,1
1,0.0,10.0,2.0,2.0,0
1,24.35,24.51,2.04,0.55,1
3,23.82,18.09,2.98,2.32,2
2,24.31,20.38,2.53,1.76,2
2,3.31,3.21,4.88,4.88,1
2,1.25,4.93,13.8,5.43,1
0,0.8,4.4,19.7,12.61,0
0,13.0,4.1,22.2,21.16,1
0,24.1,4.1,24.5,18.3,1
3,8.57,4.29,37.14,18.57,2
1,7.4,3.7,39.6,21.3,1
3,21.88,5.21,34.38,25.0,2
0,3.04,4.29,39.64,17.86,1
3,2.86,5.71,42.86,6.58,1
1,0.0,4.41,27.94,8.82,1
0,1.47,4.41,33.09,22.06,1
3,3.08,4.4,11.88,2.64,1
3,28.51,23.54,1.75,1.23,2
1,23.06,16.09,8.85,6.24,1
3,31.79,18.13,3.7,2.26,2
0,25.63,16.86,8.56,5.59,1
2,10.07,10.97,0.83,0.07,1
1,0.39,10.19,3.6,3.24,0
3,0.32,84.08,4.51,0.0,1
3,8.88,13.41,10.71,7.06,2
2,20.41,27.35,4.06,0.26,1
2,3.69,3.36,23.15,19.46,1
3,25.26,2.11,37.12,21.05,2
3,0.0,32.14,7.14,0.0,1
2,0.0,28.4,3.4,1.33,1
1,30.0,20.0,3.97,0.0,1
1,33.82,24.25,2.13,0.27,1
0,19.72,23.63,8.06,2.24,1
3,0.22,9.07,8.09,7.61,1
0,2.92,8.25,11.67,11.0,0
2,0.14,8.12,12.72,11.4,1
0,0.22,8.03,12.53,11.63,0
3,0.12,8.03,11.62,10.86,1
3,2.57,8.17,11.89,11.23,1
2,0.15,8.05,12.07,11.27,1
3,0.18,8.64,10.37,9.54,1
3,1.92,9.95,3.94,3.56,1
1,0.93,3.79,4.48,4.61,0
1,0.9,3.39,10.2,9.21,0
0,2.0,6.67,15.74,6.67,0
1,0.0,3.39,13.46,9.32,0
2,5.0,9.0,3.98,4.0,1
0,3.0,7.33,12.29,12.0,1
1,0.0,2.94,17.04,5.88,0
3,2.5,8.64,9.54,9.54,1
2,2.5,8.0,21.0,21.0,1
3,25.84,5.62,11.89,10.8,2
1,14.0,3.0,28.89,21.26,2
3,3.08,1.54,32.75,18.46,2
2,5.0,3.33,3.33,3.33,1
1,1.04,3.43,7.68,7.29,0
2,9.33,5.33,40.01,10.67,2
1,8.69,6.09,72.12,0.0,1
3,15.9,17.6,50.02,0.0,2
3,4.07,22.98,47.75,1.71,2
3,8.36,7.61,74.97,0.0,1
1,14.59,19.77,49.9,0.64,1
3,6.7,10.76,68.47,0.0,2
1,25.27,18.07,41.35,0.67,1
2,3.9,23.2,49.1,0.0,1
1,14.28,13.46,49.7,7.19,2
3,1.24,3.99,80.59,2.17,1
0,13.0,5.97,65.53,2.38,1
0,4.78,21.93,52.1,7.27,2
2,17.77,12.37,54.99,0.0,2
0,22.27,17.81,44.24,2.25,1
1,14.01,14.29,55.83,2.76,2
3,14.54,15.98,55.17,0.0,2
1,4.36,19.96,55.82,0.0,1
0,14.87,15.8,52.29,0.0,1
0,6.41,23.0,58.35,0.0,1
0,0.73,16.55,72.73,2.43,1
0,4.24,8.98,71.62,3.39,1
0,32.38,6.71,50.5,0.0,1
0,7.04,12.66,60.56,4.09,1
2,36.24,26.08,28.09,6.79,2
1,36.31,5.84,49.29,2.99,1
0,1.04,10.41,79.12,6.63,1
1,4.28,9.0,68.92,4.09,1
1,12.89,14.14,53.99,10.34,2
3,5.48,26.63,50.64,7.27,3
0,3.26,10.39,63.95,0.64,1
0,17.27,12.01,56.63,10.34,2
2,2.12,10.4,68.61,0.0,1
2,41.56,17.99,28.13,2.99,2
1,7.53,9.59,65.59,1.8,1
2,12.6,5.76,69.28,7.76,2
1,15.22,4.88,64.06,0.0,1
2,5.85,11.43,65.37,0.0,1
3,12.75,10.63,60.73,1.71,2
1,5.91,6.73,68.73,0.0,1
2,7.24,22.77,50.22,0.0,2
2,7.43,9.11,63.94,1.71,1
0,3.25,9.68,67.14,3.21,1
0,0.64,3.15,2.65,0.3,0
3,1.12,3.46,7.02,0.0,0
2,3.34,3.74,5.83,0.92,0
3,0.0,0.0,0.0,0.0,0
0,0.0,0.0,0.93,0.4,0
1,1.68,5.56,24.45,0.0,0
3,0.06,0.06,12.65,12.65,1
3,0.0,0.05,2.41,0.0,0
0,0.0,0.03,14.4,14.4,0
3,0.0,0.0,0.04,0.04,0
3,0.86,2.36,4.89,0.41,0
2,0.69,1.18,11.29,7.99,1
2,5.86,3.31,20.7,0.0,0
3,0.94,3.75,14.89,0.0,0
3,0.73,3.29,8.41,0.0,0
0,6.03,19.93,52.04,0.0,1
2,0.0,0.04,0.27,0.0,0
1,0.0,0.49,17.03,14.95,1
2,0.0,0.0,56.29,18.76,2
3,0.0,0.0,0.0,0.0,0
1,0.0,4.5,58.0,10.83,1
2,7.3,10.82,56.56,8.67,2
3,9.72,5.55,74.72,30.56,2
1,0.02,0.0,86.68,57.4,1
0,2.52,12.03,2.43,0.0,0
0,2.52,12.03,2.43,0.0,0
2,2.45,13.12,1.51,0.0,0
0,7.1,14.0,0.0,0.0,0
2,3.8,11.3,3.7,0.0,1
1,3.8,11.3,3.7,0.0,0
1,3.41,14.07,0.85,0.0,0
3,5.2,15.2,0.0,0.0,1
3,7.9,13.7,0.1,0.0,1
3,9.6,14.0,0.0,0.0,1
2,14.4,14.6,1.5,1.4,1
2,6.2,11.5,1.4,0.0,1
2,6.2,11.5,1.4,0.0,1
0,14.2,13.7,1.4,1.4,1
1,2.24,0.82,76.61,68.65,1
0,14.6,13.4,1.1,0.8,0
1,0.0,1.1,14.82,9.09,0
0,2.3,6.19,85.79,17.84,1
0,0.0,0.0,0.0,0.0,0
0,0.0,0.47,12.88,10.18,0
3,0.14,0.31,12.22,9.78,1
0,0.9,2.0,7.7,0.0,0
3,0.8,2.1,8.0,0.0,0
3,2.1,4.2,10.0,0.0,0
1,1.47,2.36,9.45,2.09,0
1,1.1,2.5,9.4,2.43,0
3,2.2,3.6,16.3,0.59,0
1,2.26,2.44,8.18,1.42,0
0,2.6,3.5,11.2,0.79,0
0,2.9,5.0,8.8,0.0,0
3,1.37,2.57,11.42,2.72,1
3,1.0,5.3,10.8,0.0,0
2,1.2,5.1,5.5,1.39,0
2,3.6,2.21,8.84,2.34,1
3,3.6,2.21,8.84,2.34,1
0,6.93,2.03,6.36,2.16,0
2,2.95,1.92,8.81,1.77,0
0,2.14,2.19,7.8,1.37,0
2,1.89,2.02,8.64,0.99,0
2,2.0,2.0,6.9,0.94,0
0,1.7,2.1,7.1,0.94,0
0,2.06,2.69,9.08,2.5,0
1,1.18,2.37,8.79,1.07,0
2,1.7,1.6,7.2,1.72,0
2,3.7,5.2,6.4,1.68,1
1,1.73,2.47,8.42,1.58,0
3,2.5,2.0,7.9,0.0,0
3,2.2,1.7,9.1,0.0,0
1,2.1,1.7,8.4,1.2,0
3,1.2,1.2,6.8,0.0,0
1,1.5,1.8,7.6,0.0,0
1,1.24,2.27,7.94,1.66,0
1,0.92,2.37,9.57,1.25,0
0,0.9,2.32,7.62,1.54,0
2,1.74,1.72,7.55,1.36,0
3,2.11,3.14,8.95,1.27,1
1,2.0,2.6,8.2,1.32,0
2,0.17,1.2,6.29,1.88,0
3,0.1,1.2,5.8,1.08,1
0,0.2,1.2,5.7,1.06,0
2,1.9,2.2,9.0,2.35,0
3,0.1,1.3,7.7,6.09,1
1,0.1,0.8,6.0,3.64,0
1,0.2,0.8,7.2,3.16,0
2,0.2,0.81,5.73,3.37,0
0,0.2,0.81,5.73,3.24,0
3,0.1,1.1,13.2,4.05,1
2,0.1,1.1,14.0,4.24,0
2,0.1,1.0,11.73,0.91,0
0,0.6,2.0,9.26,2.93,0
2,0.1,0.2,12.1,10.83,1
2,0.2,0.2,10.8,9.87,1
0,0.0,0.0,10.3,8.48,0
0,0.0,0.3,16.3,1.41,0
1,0.4,1.4,14.1,1.23,0
3,0.4,1.4,16.25,1.48,1
2,0.43,3.27,8.36,2.01,0
2,0.8,3.9,10.3,4.13,0
1,1.3,2.5,5.7,2.33,0
1,0.0,0.3,17.3,1.4,0
3,0.1,0.4,15.3,0.38,0
1,0.33,0.94,14.48,11.5,1
3,0.33,0.94,14.48,11.5,1
1,0.2,0.3,10.8,6.98,0
0,0.1,0.3,11.6,7.34,0
0,0.0,0.1,19.7,13.34,0
1,0.0,0.1,20.5,13.64,1
2,0.1,0.6,18.5,10.97,1
2,0.1,0.6,18.7,10.97,1
1,0.2,1.0,23.52,14.28,1
1,0.2,0.3,19.0,13.0,1
1,0.1,0.3,13.6,8.66,0
2,0.2,0.2,11.64,9.25,1
0,0.2,0.2,12.4,8.72,0
0,0.0,0.0,14.1,10.81,0
3,0.0,0.0,14.1,10.61,1
3,0.1,0.37,16.16,4.35,1
3,0.1,0.1,10.1,0.0,0
0,0.1,0.1,10.5,0.0,0
2,0.2,0.2,15.6,12.96,1
2,0.2,0.2,15.4,12.96,1
1,0.22,0.3,15.3,11.6,1
0,0.1,0.2,18.4,8.41,0
0,0.0,0.2,17.8,10.73,0
1,0.1,0.3,10.9,7.79,0
0,0.2,0.3,11.4,7.36,0
0,0.1,0.2,17.0,0.0,0
3,0.2,0.5,11.8,9.49,1
2,0.1,0.2,18.9,0.0,0
1,0.22,0.9,19.31,12.76,1
1,0.2,0.2,16.3,13.93,1
1,0.2,0.2,16.6,8.83,0
2,0.1,0.0,11.7,10.7,1
0,0.1,0.2,12.3,11.0,0
3,0.1,0.2,10.5,9.59,1
1,0.02,0.0,11.49,6.88,0
0,0.0,0.1,12.3,11.54,0
2,0.1,0.2,18.1,10.58,1
1,0.3,0.6,10.2,8.26,0
2,0.2,0.4,10.1,0.0,0
0,0.1,0.4,11.5,10.03,0
1,0.1,0.8,10.9,0.0,0
2,0.1,0.7,11.9,0.0,0
0,0.1,0.5,11.7,0.0,0
2,0.3,0.6,16.8,0.0,0
1,0.1,0.1,11.7,8.46,0
3,6.6,13.2,69.4,13.2,3
1,4.8,6.6,83.2,26.66,2
2,6.66,6.66,78.21,26.66,2
2,4.6,10.7,77.1,6.68,2
1,0.51,0.71,18.38,11.1,1
1,0.51,0.71,18.79,11.1,1
2,6.36,10.99,73.48,11.67,2
0,6.67,6.67,78.07,26.66,1
0,0.89,0.89,15.62,8.85,0
2,0.89,0.89,16.03,8.85,1
3,7.0,13.5,69.3,0.0,2
1,2.19,6.65,83.14,4.85,1
0,0.4,1.2,17.1,2.24,0
1,1.8,1.9,7.0,0.0,0
2,1.8,1.9,7.1,0.0,0
1,1.5,2.2,8.0,0.0,0
3,5.0,2.5,6.2,0.0,1
1,7.05,10.5,74.1,11.09,2
0,12.6,6.8,73.7,24.2,2
1,19.6,8.4,66.85,13.0,2
0,6.5,25.4,57.6,0.0,1
2,4.2,8.7,79.9,16.7,2
0,13.2,11.8,67.1,24.2,2
3,10.0,7.6,75.4,0.0,1
3,2.0,10.8,82.2,3.08,2
1,4.2,10.7,76.4,12.65,2
2,9.7,10.1,74.2,12.5,2
2,0.4,0.2,19.74,17.89,1
2,0.16,0.2,19.18,17.89,1
0,0.1,0.3,19.2,10.39,0
1,0.3,0.2,17.8,9.15,0
2,0.2,0.2,18.4,16.98,1
3,0.9,1.1,17.7,0.0,0
3,0.0,0.3,17.8,10.62,1
0,0.0,0.3,18.3,11.89,0
2,0.0,0.2,16.5,0.0,0
1,0.0,0.3,16.4,0.0,0
3,0.3,1.3,20.3,10.28,1
0,0.0,0.3,16.0,12.6,0
1,0.0,0.3,17.2,12.0,1
2,0.0,0.2,16.4,0.0,0
3,2.0,1.6,16.0,11.5,1
1,0.98,1.76,17.58,12.2,1
2,0.2,0.1,11.34,10.9,1
3,0.1,0.2,12.7,10.6,1
1,0.2,0.1,9.9,8.98,0
3,0.1,0.06,11.1,9.0,1
1,1.12,2.04,8.66,1.46,0
0,0.1,1.2,9.5,0.0,0
3,0.11,1.01,7.88,3.08,1
3,0.2,0.4,17.8,7.1,1
3,0.4,1.4,8.2,1.78,1
1,0.2,2.3,6.8,2.57,0
1,0.5,1.0,8.25,1.57,0
2,1.9,2.5,7.3,1.45,0
0,0.9,2.6,10.9,7.98,0
1,2.5,3.4,5.7,2.04,0
0,0.3,1.1,12.7,9.3,0
3,1.6,3.8,7.5,1.12,1
0,1.38,2.16,10.88,6.06,0
0,2.48,3.59,6.34,1.43,0
0,0.0,0.0,7.4,6.12,0
3,4.0,14.29,71.82,57.14,3
2,2.17,2.51,11.04,2.65,0
2,2.0,3.5,11.97,0.8,0
1,3.26,3.73,9.94,5.1,1
1,3.8,8.7,11.6,0.0,0
3,3.38,4.14,12.3,4.78,1
0,3.46,3.82,10.0,5.9,0
2,4.1,5.0,15.3,0.0,0
3,3.46,3.82,10.0,5.9,1
3,3.9,5.0,15.3,0.0,1
1,3.38,3.45,10.31,4.87,0
1,3.3,3.9,17.1,0.0,0
1,3.6,5.0,15.9,0.0,0
0,3.9,6.9,13.4,0.0,0
1,3.32,3.57,10.49,6.13,1
1,3.37,1.45,7.39,5.0,0
1,6.5,2.79,14.2,9.7,1
1,26.1,11.3,57.32,39.3,2
1,3.5,1.38,7.2,7.18,1
0,27.0,10.8,56.2,56.0,2
0,3.5,1.38,7.18,7.18,0
3,27.0,10.8,56.2,56.0,3
0,27.0,10.8,56.2,56.0,2
2,6.96,2.76,14.34,14.0,1
3,3.5,1.83,6.81,5.13,1
2,25.0,14.2,55.0,55.0,3
2,3.5,1.38,7.1,7.1,1
2,6.73,3.53,13.12,13.08,1
0,7.16,2.76,14.24,14.24,1
1,22.0,16.5,54.8,54.0,2
1,4.48,3.33,8.57,7.4,1
3,28.0,14.0,52.8,51.0,3
0,3.65,1.82,6.63,6.63,0
0,3.5,1.64,6.11,6.11,0
0,7.13,3.19,13.58,13.58,1
3,3.5,1.38,7.18,7.18,1
1,27.0,12.5,54.3,53.0,2
3,28.0,10.9,56.3,54.77,3
0,7.11,2.68,14.42,13.96,1
1,3.5,1.38,6.44,6.44,1
2,28.71,11.4,54.94,52.38,3
1,26.0,13.9,51.0,51.0,2
3,4.24,2.12,8.2,8.2,1
2,3.26,1.8,8.73,8.3,1
3,3.59,1.61,6.7,6.7,1
2,6.98,3.13,13.21,13.1,1
1,28.09,12.6,53.57,52.97,2
1,6.73,3.53,13.12,9.87,1
2,3.5,1.83,6.81,5.13,1
1,3.63,1.8,6.77,4.4,0
0,27.0,12.5,56.0,51.0,2
0,3.55,1.36,6.92,6.9,0
1,6.89,2.64,13.76,13.76,1
3,27.0,12.5,53.0,53.0,3
2,28.87,10.89,54.73,54.73,3
0,7.11,3.19,13.58,13.58,1
3,3.55,1.36,6.93,6.93,1
3,6.89,2.64,13.76,13.76,2
0,3.5,1.64,6.11,6.11,0
0,28.87,10.85,54.78,54.7,2
3,3.28,1.6,7.13,5.68,1
2,4.77,2.86,11.15,10.5,1
3,21.0,15.6,57.1,56.0,3
1,2.91,2.14,8.09,7.77,0
0,25.6,12.5,55.6,44.38,2
2,3.5,1.38,7.18,7.18,1
1,28.0,10.85,57.0,57.0,2
0,4.7,2.8,11.28,7.6,0
0,2.7,1.7,8.54,6.19,0
1,5.13,3.25,16.5,11.9,1
3,19.3,12.2,62.23,44.3,3
2,3.3,1.63,7.17,5.69,1
1,6.5,3.2,14.1,11.2,1
2,25.5,12.5,55.7,44.38,3
3,21.0,15.6,57.1,56.0,3
3,2.91,2.14,8.08,7.77,1
3,0.28,1.26,15.23,4.0,1
3,3.63,1.8,6.77,4.4,1
1,3.5,1.4,6.39,6.4,1
1,7.0,2.9,13.9,13.9,1
0,28.0,12.0,56.0,56.0,2
3,3.5,1.8,6.09,6.1,1
1,7.0,3.6,12.18,12.18,1
2,27.2,13.6,52.2,52.2,3
2,3.49,1.71,7.53,6.44,1
1,25.97,12.73,56.03,56.03,2
1,3.77,1.92,6.94,6.9,1
3,28.33,14.42,51.75,52.02,3
2,3.74,1.48,7.4,7.4,1
2,6.95,2.73,13.64,13.78,1
3,28.14,11.13,55.67,55.67,3
2,3.7,1.36,6.77,6.9,1
2,28.87,10.89,54.73,54.73,3
2,6.89,2.64,13.52,13.52,1
1,6.98,3.13,13.21,13.1,1
3,3.59,1.61,6.7,6.7,1
1,28.09,12.6,53.57,52.97,2
0,3.8,2.0,7.4,7.4,0
3,3.53,3.4,13.22,11.46,2
3,28.19,13.99,51.91,34.18,3
0,1.47,1.11,7.47,1.17,0
3,3.37,1.45,7.39,5.0,1
2,3.37,1.45,7.39,5.0,1
3,3.5,1.52,6.39,6.44,1
3,5.3,5.43,68.63,42.0,2
2,3.08,3.05,13.0,11.46,1
3,6.67,3.31,14.71,11.74,2
0,26.9,13.0,56.0,53.0,2
0,3.63,1.78,7.18,7.18,0
1,27.0,11.8,56.0,56.0,2
1,3.5,1.71,6.9,6.9,1
0,2.89,2.17,7.64,7.64,0
3,3.48,1.84,6.76,6.76,1
0,3.34,1.97,7.21,7.2,0
2,3.34,1.97,7.19,7.21,1
3,3.48,1.38,7.39,7.39,1
3,3.28,1.84,7.15,7.14,1
1,3.36,1.44,7.17,7.17,1
1,3.34,1.44,7.61,7.61,1
0,3.37,1.44,7.39,7.34,0
0,3.54,1.97,6.69,6.69,0
0,3.6,1.76,6.67,6.66,0
3,3.54,1.4,7.19,7.19,1
3,0.37,0.71,25.78,19.29,2
3,0.36,1.01,21.31,15.0,1
2,6.67,6.67,80.06,26.67,2
1,0.87,12.5,83.21,12.5,2
0,28.57,0.0,61.59,0.0,1
1,27.75,11.0,55.0,55.0,2
0,100.0,0.0,0.0,0.0,0
1,100.0,0.0,0.0,0.0,0
2,32.9,0.6,8.5,4.2,1
0,0.0,0.2,15.8,6.8,0
0,2.7,0.2,15.5,10.3,0
0,26.18,0.69,31.9,17.68,1
0,45.2,3.1,8.6,8.32,1
1,35.06,1.09,14.64,15.18,1
2,21.6,0.65,14.78,10.02,2
0,11.52,0.58,31.22,16.86,1
1,6.68,0.39,9.99,9.16,1
1,4.0,0.5,27.6,21.87,1
2,11.32,0.83,24.06,17.31,2
2,74.85,0.96,0.57,0.57,1
3,79.4,1.1,2.7,0.48,1
1,19.2,0.3,16.0,6.0,1
0,5.1,2.1,11.1,0.0,0
3,47.7,0.1,15.8,6.0,2
2,34.0,0.9,22.4,15.18,2
1,100.0,0.0,0.0,0.0,0
1,100.0,0.0,0.0,0.0,0
2,100.0,0.0,0.0,0.0,1
2,100.0,0.0,0.0,0.0,1
2,100.0,0.0,0.0,0.0,1
1,100.0,0.0,0.0,0.0,0
2,99.06,0.0,0.0,0.0,1
0,100.0,0.0,0.0,0.0,0
1,100.0,0.0,0.0,0.0,0
0,100.0,0.0,0.0,0.0,0
2,100.0,0.0,0.0,0.0,1
0,80.5,0.9,0.9,0.0,0
1,21.12,0.41,12.12,10.77,1
3,44.81,0.77,15.58,15.95,2
3,37.77,0.51,0.66,0.0,1
0,70.2,0.1,3.4,0.0,0
0,50.1,0.0,2.5,2.5,0
1,44.81,0.77,15.58,15.95,1
1,13.46,0.58,29.28,28.45,2
1,28.37,0.38,10.43,8.32,1
2,6.38,0.47,4.57,4.55,1
3,79.4,1.1,2.7,0.0,1
2,70.2,0.1,3.4,0.0,1
3,0.27,0.2,32.14,16.45,2
2,100.0,0.0,0.0,0.0,1
1,100.0,0.0,0.0,0.0,0
2,100.0,0.0,0.0,0.0,1
3,100.0,0.0,0.0,0.0,1
0,100.0,0.0,0.0,0.0,0
0,100.0,0.0,0.0,0.0,0
0,100.0,0.0,0.0,0.0,0
2,100.0,0.0,0.0,0.0,1
1,100.0,0.0,0.0,0.0,0
1,100.0,0.0,0.0,0.0,0
1,100.0,0.0,0.0,0.0,0
3,100.0,0.0,0.0,0.0,1
0,100.0,0.0,0.0,0.0,0
1,100.0,0.0,0.0,0.0,0
1,100.0,0.0,0.0,0.0,0
3,100.0,0.0,0.0,0.0,1
1,100.0,0.0,0.0,0.0,0
2,100.0,0.0,0.0,0.0,1
1,100.0,0.0,0.0,0.0,0
0,51.1,1.37,4.77,3.48,0
3,100.0,0.0,0.0,0.0,1
